Start Date,End Date,Length of Lease,Lease Sizes,Country,State,State Category,Zip Code,Regions,Rentable Sqft,Usable Sqft,Structured Parking Spaces,Surface Parking Spaces,Surface Sizes,Rent Amount
2022-06-08,2042-06-07,7304,Very Long 5000-15000,US,MD,Other,20782,Region 2,13373.0,11629.0,0,0,Small 0-49,383256.49
2022-08-30,2037-08-29,5478,Very Long 5000-15000,US,MD,Other,20852,Region 2,153731.0,130714.0,4,0,Small 0-49,3319917.16
2024-07-01,2034-06-30,3651,Long 3000-4999,US,MD,Other,20814,Region 2,19146.0,16333.0,0,6,Small 0-49,521909.96
2015-08-01,2030-07-31,5478,Very Long 5000-15000,US,IL,IL,60606,Region 6,935386.0,823931.0,20,0,Small 0-49,30976934.9
2023-01-01,2032-12-31,3652,Long 3000-4999,US,NY,NY,10011,Region 1,11368.0,9885.0,1,0,Small 0-49,235698.47
2023-10-01,2033-09-30,3652,Long 3000-4999,US,NY,NY,10011,Region 1,12222.0,0.0,0,0,Small 0-49,363499.01
2011-06-30,2025-01-31,4964,Long 3000-4999,US,NY,NY,11743,Region 1,78177.0,78013.0,0,0,Small 0-49,1363051.05
2020-12-21,2035-12-20,5477,Very Long 5000-15000,US,VA,Other,22102,Region 2,93014.0,78378.0,0,19,Small 0-49,2769315.37
2004-09-22,2024-12-31,7405,Very Long 5000-15000,US,MD,Other,20707,Region 2,64.0,64.0,0,0,Small 0-49,26769.37
2004-09-22,2024-12-31,7405,Very Long 5000-15000,US,MD,Other,20707,Region 2,64.0,64.0,0,0,Small 0-49,26066.96
2004-09-22,2024-12-31,7405,Very Long 5000-15000,US,MD,Other,20707,Region 2,64.0,64.0,0,0,Small 0-49,26769.37
2013-10-01,2028-09-30,5478,Very Long 5000-15000,US,MD,Other,20850,Region 2,59349.0,45708.0,0,1,Small 0-49,3016232.07
2013-08-01,2028-07-31,5478,Very Long 5000-15000,US,MD,Other,20850,Region 2,75056.0,52642.0,0,0,Small 0-49,3691380.07
2024-04-01,2034-03-31,3651,Long 3000-4999,US,MD,Other,20817,Region 2,123750.0,100923.0,16,0,Small 0-49,4101241.43
2008-01-28,2028-01-27,7304,Very Long 5000-15000,US,MD,Other,20854,Region 2,24083.0,23813.0,0,0,Small 0-49,656033.82
2008-04-01,2027-03-31,6938,Very Long 5000-15000,US,MD,Other,20852,Region 2,54497.0,50955.0,2,0,Small 0-49,1908704.38
2018-09-29,2028-09-28,3652,Long 3000-4999,US,NY,NY,10018,Region 1,10646.0,9228.0,0,29,Small 0-49,335301.77
2021-10-06,2031-10-05,3651,Long 3000-4999,US,MD,Other,20770,Region 2,9897.0,8606.0,55,0,Small 0-49,313742.52
2005-12-05,2025-12-04,7304,Very Long 5000-15000,US,MD,Other,20646,Region 2,28.0,28.0,0,0,Small 0-49,24000.0
2020-11-01,2025-04-05,1616,Medium 1000-2999,US,MD,Other,21046,Region 2,5598.0,4868.0,0,16,Small 0-49,198065.29
2020-12-01,2035-11-30,5477,Very Long 5000-15000,US,MD,Other,20878,Region 2,63852.0,61448.0,0,12,Small 0-49,3086888.19
2019-09-01,2039-08-31,7304,Very Long 5000-15000,US,MA,Other,02458,Region 0,266000.0,252687.0,10,435,Jumbo 250-5000,6124506.89
2012-11-03,2027-11-02,5477,Very Long 5000-15000,US,TX,TX,78230,Region 7,358440.0,321976.0,656,0,Small 0-49,19538081.1
2013-06-01,2028-05-31,5478,Very Long 5000-15000,US,IL,IL,60606,Region 6,43846.0,43846.0,0,16,Small 0-49,431866.17
2020-10-23,2037-10-22,6208,Very Long 5000-15000,US,MD,Other,20904,Region 2,51728.0,46150.0,4,0,Small 0-49,1681913.01
